rot 	 wordsim 	 freq_bias 	 log_bias 	 isotropy 	 len_centroid* 	 mean_scalar_proj
0.000000	0.740488	0.253941	0.079356	0.958958	0.940000	0.055271
1.000000	0.740397	0.252779	0.077719	0.897625	0.904000	0.089373
2.000000	0.741336	0.255204	0.080447	0.973088	0.987000	0.011719
3.000000	0.736830	0.249193	0.073991	0.739991	0.720000	0.272675
4.000000	0.741350	0.255184	0.080356	0.971343	0.985000	0.013178
5.000000	0.740662	0.253416	0.078327	0.951432	0.919000	0.075749
6.000000	0.737878	0.250018	0.073773	0.785136	0.758000	0.232935
7.000000	0.736449	0.249499	0.073899	0.733524	0.711000	0.282608
8.000000	0.735154	0.249390	0.072999	0.703682	0.670000	0.326946
9.000000	0.740029	0.252205	0.077801	0.867152	0.870000	0.122251
10.000000	0.738153	0.249437	0.073532	0.775619	0.772000	0.218865
11.000000	0.741348	0.255141	0.080131	0.977636	0.983000	0.015611
12.000000	0.739237	0.250733	0.075420	0.829047	0.823000	0.167384
13.000000	0.739742	0.252058	0.077574	0.850394	0.858000	0.133225
14.000000	0.740404	0.252569	0.077696	0.920717	0.897000	0.096453
15.000000	0.737829	0.249994	0.073659	0.767570	0.760000	0.231065
16.000000	0.739396	0.250870	0.075872	0.816584	0.827000	0.164238
17.000000	0.738960	0.250766	0.075451	0.812828	0.815000	0.175279
18.000000	0.738635	0.250177	0.074742	0.780901	0.792000	0.198719
19.000000	0.741244	0.255037	0.079904	0.974097	0.968000	0.029472
20.000000	0.739992	0.252211	0.077706	0.872193	0.869000	0.122942
21.000000	0.741186	0.255112	0.080020	0.971793	0.969000	0.027997
22.000000	0.735194	0.249709	0.073104	0.724082	0.678000	0.318162
23.000000	0.740307	0.252476	0.077992	0.889824	0.875000	0.117322
24.000000	0.738034	0.249736	0.073956	0.782790	0.766000	0.225113
